PAGE COUNT 262144
894 - 165600000
895 - 165700000
896 - 18e000000
897 - 18e100000
898 - 166000000
899 - 166100000
900 - 18e400000
901 - 18e500000
902 - 165200000
903 - 165300000
904 - 164600000
905 - 164700000
906 - 18d000000
907 - 18d100000
908 - 182600000
909 - 182700000
910 - 192200000
911 - 192300000
912 - 16be00000
913 - 16bf00000
914 - 163400000
915 - 163500000
916 - 166c00000
917 - 166d00000
918 - 166a00000
919 - 166b00000
920 - 163200000
921 - 163300000
922 - 167e00000
923 - 167f00000
924 - 167800000
925 - 167900000
926 - 161600000
927 - 161700000
928 - 167400000
929 - 167500000
930 - 168200000
931 - 168300000
932 - 168400000
933 - 168500000
934 - 168800000
935 - 168900000
936 - 18c200000
937 - 18c300000
938 - 169400000
939 - 169500000
940 - 18a400000
941 - 18a500000
942 - 16a200000
943 - 16a300000
944 - 169a00000
945 - 169b00000
946 - 1a7200000
947 - 1a7300000
948 - 190c00000
949 - 190d00000
950 - 16ae00000
951 - 16af00000
952 - 170000000
953 - 170100000
954 - 188800000
955 - 188900000
956 - 188e00000
957 - 188f00000
958 - 187c00000
Bank 0 Num 508
Bank 1 Num 508
Bank 2 Num 508
Bank 3 Num 508
Bank 4 Num 508
Bank 5 Num 508
Bank 6 Num 508
Bank 7 Num 508
Bank 8 Num 508
Bank 9 Num 508
Bank 10 Num 508
Bank 11 Num 508
Bank 12 Num 508
Bank 13 Num 508
Bank 14 Num 508
Bank 15 Num 508
FLIP in addr (7fffeaa9f661): 8
FLIP in addr (7fffeaa9e0f9): 1
Got flip-1
FLIP in addr (7fffec89a391): 20
FLIP in addr (7fffec89b662): 2
FLIP in addr (7fffec89c2e1): 20
FLIP in addr (7fffedc9a536): 10
FLIP in addr (7fffedc9a5b8): 80
FLIP in addr (7ffff409b4c1): 4
FLIP in addr (7fffe6e9a0e1): 40
FLIP in addr (7fffeaa9a755): 20
FLIP in addr (7fffec89b38d): 4
FLIP in addr (7fffef09b13e): 8
FLIP in addr (7ffff049b42d): 20
FLIP in addr (7ffff049c83a): 40
Got flip-0
FLIP in addr (7fffeaaa87ed): 20
FLIP in addr (7ffff0ea73c5): 4
FLIP in addr (7fffe8ca85b5): 10
FLIP in addr (7fffed2a427e): 10
FLIP in addr (7fffedca2134): 8
FLIP in addr (7fffedca2695): 20
FLIP in addr (7fffedca30e1): 4
FLIP in addr (7fffedca35d1): 1
Got flip-1
FLIP in addr (7fffedca36c0): 8
FLIP in addr (7ffff2ca2429): 20
FLIP in addr (7ffff2ca2619): 80
FLIP in addr (7ffff2ca2889): 40
FLIP in addr (7fffe78a32a6): 80
FLIP in addr (7fffe8ca226e): 40
Got flip-0
FLIP in addr (7fffebea217c): 8
FLIP in addr (7fffebea21d4): 40
Got flip-0
FLIP in addr (7fffebea2279): 40
FLIP in addr (7fffebea27dc): 1
FLIP in addr (7fffebea380d): 8
FLIP in addr (7fffebea423d): 8
FLIP in addr (7fffed2a373c): 4
FLIP in addr (7fffef0a3382): 40
Got flip-0
FLIP in addr (7fffef0a3590): 4
FLIP in addr (7ffff04a3388): 80
FLIP in addr (7ffff36a277d): 40
FLIP in addr (7ffff4aa3107): 2
FLIP in addr (7ffff4aa383c): 4
FLIP in addr (7fffe82ae634): 8
FLIP in addr (7fffe82af1e3): 1
Got flip-1
FLIP in addr (7fffe82af56c): 40
Got flip-0
Tgt: 197236000
dummies.......
0 - 1b3b8f000
1 - 1b3b90000
2 - 1b3b91000
3 - 1b3b92000
4 - 1b3b93000
5 - 1b3b94000
6 - 1b3b95000
7 - 1b3b96000
8 - 1b3b97000
9 - 1b3b98000
10 - 1b3b99000
11 - 1b3b9a000
12 - 1b3b9b000
13 - 1b3b9c000
14 - 1b3b9d000
15 - 1b3b9e000
16 - 1b3b9f000
17 - 1b3ba0000
18 - 1b3ba1000
19 - 1b3ba2000
20 - 1b3ba3000
21 - 1b3ba4000
22 - 1b3ba5000
23 - 1b3ba6000
24 - 1b3ba7000
25 - 1b3ba8000
26 - 1b3ba9000
27 - 1b3baa000
28 - 1b3bab000
29 - 1b3bac000
30 - 1b3bad000
31 - 1b3bae000
32 - 1b3baf000
33 - 1b3bb0000
34 - 1b3bb1000
35 - 1b3bb2000
36 - 1b3bb3000
37 - 164be9000
38 - 1b0ca6000
39 - 1b0ca7000
40 - 164b50000
41 - 164b51000
42 - 164b36000
43 - 164b37000
44 - 185684000
45 - 185685000
46 - 19a418000
47 - 19a419000
48 - 164b74000
49 - 164b75000
50 - 164b4c000
51 - 164b4d000
52 - 164be4000
53 - 164be5000
54 - 18f7d6000
55 - 18f7d7000
56 - 18f618000
57 - 18f619000
58 - 1ad79a000
59 - 1ad79b000
60 - 17d4b2000
61 - 17d4b3000
62 - 1b3d0c000
63 - 1b3d0d000
64 - 1ad796000
65 - 1ad797000
66 - 17d4ac000
67 - 17d4ad000
68 - 18f7d0000
69 - 18f7d1000
70 - 16f208000
71 - 16f209000
72 - 185696000
73 - 185697000
74 - 18f676000
75 - 18f677000
76 - 1b4210000
77 - 1b4211000
78 - 164b8c000
79 - 164b8d000
80 - 1b3be2000
81 - 1b3be3000
82 - 1856ba000
83 - 1856bb000
84 - 164b7e000
85 - 164b7f000
86 - 19a4ca000
87 - 19a4cb000
88 - 19a498000
89 - 19a499000
90 - 19a490000
91 - 19a491000
92 - 19a492000
93 - 19a493000
94 - 19a4d4000
95 - 19a4d5000
96 - 19a4d6000
97 - 19a4d7000
98 - 19a524000
99 - 19a525000
100 - 19a526000
101 - 19a527000
102 - 164bf0000
103 - 164bf1000
104 - 164bf2000
105 - 164bf3000
106 - 164b0c000
107 - 164b0d000
108 - 164b0e000
109 - 164b0f000
110 - 1856bc000
111 - 1856bd000
112 - 1856be000
113 - 1856bf000
114 - 18568c000
115 - 18568d000
116 - 18568e000
117 - 18568f000
118 - 19a5ec000
119 - 19a5ed000
120 - 19a5ee000
121 - 19a5ef000
122 - 19a484000
123 - 19a485000
124 - 19a486000
125 - 19a487000
126 - 164b78000
127 - 164b79000
128 - 164b7a000
129 - 164b7b000
130 - 164b88000
131 - 164b89000
132 - 164b8a000
133 - 164b8b000
134 - 18f600000
135 - 18f601000
136 - 18f602000
137 - 18f603000
138 - 19a438000
139 - 19a439000
140 - 19a43a000
141 - 19a43b000
142 - 19a41c000
143 - 19a41d000
144 - 19a41e000
145 - 19a41f000
146 - 18f6bc000
147 - 18f6bd000
148 - 18f6be000
149 - 18f6bf000
150 - 18f7dc000
151 - 18f7dd000
152 - 18f7de000
153 - 18f7df000
154 - 19a5f0000
155 - 19a5f1000
156 - 19a5f2000
157 - 19a5f3000
158 - 164b44000
159 - 164b45000
160 - 164b46000
161 - 164b47000
162 - 1b3bb4000
163 - 1b3bb5000
164 - 1b3bb6000
165 - 1b3bb7000
166 - 19a49c000
167 - 19a49d000
168 - 19a49e000
169 - 19a49f000
170 - 19a4cc000
171 - 19a4cd000
172 - 19a4ce000
173 - 19a4cf000
174 - 164b20000
175 - 164b21000
176 - 164b22000
177 - 164b23000
178 - 19a528000
179 - 19a529000
180 - 19a52a000
181 - 19a52b000
182 - 1856c4000
183 - 1856c5000
184 - 1856c6000
185 - 1856c7000
186 - 18f728000
187 - 18f729000
188 - 18f72a000
189 - 18f72b000
190 - 1b3bdc000
191 - 1b3bdd000
192 - 1b3bde000
193 - 1b3bdf000
194 - 185678000
195 - 185679000
196 - 18567a000
197 - 18567b000
198 - 1b3be4000
199 - 1b3be5000
200 - 1b3be6000
201 - 1b3be7000
202 - 19a46c000
203 - 19a46d000
204 - 19a46e000
205 - 19a46f000
206 - 176e04000
207 - 176e05000
208 - 176e06000
209 - 176e07000
210 - 1b4214000
211 - 1b4215000
212 - 1b4216000
213 - 1b4217000
214 - 19a574000
215 - 19a575000
216 - 19a576000
217 - 19a577000
218 - 19a5f8000
219 - 19a5f9000
220 - 19a5fa000
221 - 19a5fb000
222 - 19a5fc000
223 - 19a5fd000
224 - 19a5fe000
225 - 19a5ff000
226 - 1b3bb8000
227 - 1b3bb9000
228 - 1b3bba000
229 - 1b3bbb000
230 - 1b3bbc000
231 - 1b3bbd000
232 - 1b3bbe000
233 - 1b3bbf000
234 - 18f610000
235 - 18f611000
236 - 18f612000
237 - 18f613000
238 - 18f614000
239 - 18f615000
240 - 18f616000
241 - 18f617000
242 - 19a578000
243 - 19a579000
244 - 19a57a000
245 - 19a57b000
246 - 19a57c000
247 - 19a57d000
248 - 19a57e000
249 - 19a57f000
250 - 19a408000
251 - 19a409000
252 - 19a40a000
253 - 19a40b000
254 - 19a40c000
255 - 19a40d000
256 - 19a40e000
257 - 19a40f000
258 - 176e10000
259 - 176e11000
260 - 176e12000
261 - 176e13000
262 - 176e14000
263 - 176e15000
264 - 176e16000
265 - 176e17000
266 - 19a460000
267 - 19a461000
268 - 19a462000
269 - 19a463000
270 - 19a464000
271 - 19a465000
272 - 19a466000
273 - 19a467000
274 - 1b3be8000
275 - 1b3be9000
276 - 1b3bea000
277 - 1b3beb000
278 - 1b3bec000
279 - 1b3bed000
280 - 1b3bee000
281 - 1b3bef000
282 - 1b4218000
283 - 1b4219000
284 - 1b421a000
285 - 1b421b000
286 - 1b421c000
287 - 1b421d000
288 - 1b421e000
289 - 1b421f000
290 - 176e08000
291 - 176e09000
292 - 176e0a000
293 - 176e0b000
294 - 176e0c000
295 - 176e0d000
296 - 176e0e000
297 - 176e0f000
298 - 19a5b8000
299 - 19a5b9000
300 - 19a5ba000
301 - 19a5bb000
302 - 19a5bc000
303 - 19a5bd000
304 - 19a5be000
305 - 19a5bf000
306 - 19a588000
307 - 19a589000
308 - 19a58a000
309 - 19a58b000
310 - 19a58c000
311 - 19a58d000
312 - 19a58e000
313 - 19a58f000
314 - 18f678000
315 - 18f679000
316 - 18f67a000
317 - 18f67b000
318 - 18f67c000
319 - 18f67d000
320 - 18f67e000
321 - 18f67f000
322 - 19a448000
323 - 19a449000
324 - 19a44a000
325 - 19a44b000
326 - 19a44c000
327 - 19a44d000
328 - 19a44e000
329 - 19a44f000
330 - 1b3bf0000
331 - 1b3bf1000
332 - 1b3bf2000
333 - 1b3bf3000
334 - 1b3bf4000
335 - 1b3bf5000
336 - 1b3bf6000
337 - 1b3bf7000
338 - 1b3bf8000
339 - 1b3bf9000
340 - 1b3bfa000
341 - 1b3bfb000
342 - 1b3bfc000
343 - 1b3bfd000
344 - 1b3bfe000
345 - 1b3bff000
346 - 18f660000
347 - 18f661000
348 - 18f662000
349 - 18f663000
350 - 18f664000
351 - 18f665000
352 - 18f666000
353 - 18f667000
354 - 18f668000
355 - 18f669000
356 - 18f66a000
357 - 18f66b000
358 - 18f66c000
359 - 18f66d000
360 - 18f66e000
361 - 18f66f000
362 - 19a530000
363 - 19a531000
364 - 19a532000
365 - 19a533000
366 - 19a534000
367 - 19a535000
368 - 19a536000
369 - 19a537000
370 - 19a538000
371 - 19a539000
372 - 19a53a000
373 - 19a53b000
374 - 19a53c000
375 - 19a53d000
376 - 19a53e000
377 - 19a53f000
378 - 19a4b0000
379 - 19a4b1000
380 - 19a4b2000
381 - 19a4b3000
382 - 19a4b4000
383 - 19a4b5000
384 - 19a4b6000
385 - 19a4b7000
386 - 19a4b8000
387 - 19a4b9000
388 - 19a4ba000
389 - 19a4bb000
390 - 19a4bc000
391 - 19a4bd000
392 - 19a4be000
393 - 19a4bf000
394 - 19a450000
395 - 19a451000
396 - 19a452000
397 - 19a453000
398 - 19a454000
399 - 19a455000
